 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60
44 0.0 0.0 117.0 69.0 35.0 38.0 31.0 21.0 9.0 12.0 8.0 10.0 11.0 3.0 9.0 11.0 12.0 9.0 6.0 13.0 6.0 9.0 6.0 5.0 11.0 6.0 11.0 6.0 11.0 7.0 11.0 12.0 7.0 9.0 5.0 13.0 11.0 12.0 7.0 6.0 8.0 8.0 5.0 6.0 7.0 5.0 6.0 10.0 17.0 6.0 13.0 8.0 21.0 24.0 35.0 42.0 82.0 143.0 0.0 0.0
46 0.0 0.0 0.0 80.0 37.0 25.0 9.0 12.0 12.0 8.0 8.0 5.0 7.0 7.0 8.0 7.0 8.0 10.0 7.0 12.0 15.0 9.0 12.0 9.0 9.0 13.0 7.0 9.0 11.0 13.0 9.0 9.0 10.0 9.0 7.0 10.0 9.0 9.0 9.0 10.0 8.0 6.0 13.0 10.0 5.0 4.0 7.0 4.0 9.0 14.0 5.0 9.0 8.0 17.0 23.0 48.0 85.0 0.0 0.0 0.0
48 0.0 0.0 0.0 0.0 48.0 18.0 15.0 16.0 8.0 8.0 16.0 10.0 8.0 7.0 5.0 9.0 8.0 10.0 4.0 15.0 12.0 10.0 8.0 8.0 3.0 7.0 9.0 15.0 9.0 8.0 12.0 11.0 5.0 19.0 6.0 13.0 8.0 8.0 12.0 3.0 8.0 13.0 6.0 9.0 6.0 7.0 9.0 6.0 15.0 10.0 12.0 4.0 15.0 7.0 28.0 53.0 0.0 0.0 0.0 0.0
50 0.0 0.0 0.0 0.0 0.0 41.0 22.0 23.0 9.0 5.0 6.0 9.0 6.0 9.0 13.0 3.0 4.0 10.0 13.0 12.0 8.0 9.0 6.0 11.0 6.0 12.0 7.0 10.0 7.0 11.0 13.0 10.0 10.0 7.0 6.0 9.0 5.0 8.0 10.0 6.0 10.0 5.0 12.0 7.0 4.0 8.0 4.0 13.0 7.0 11.0 14.0 17.0 13.0 9.0 32.0 0.0 0.0 0.0 0.0 0.0
52 0.0 0.0 0.0 0.0 0.0 0.0 47.0 9.0 11.0 10.0 7.0 7.0 7.0 11.0 11.0 4.0 9.0 9.0 4.0 8.0 8.0 4.0 11.0 8.0 11.0 11.0 3.0 11.0 10.0 15.0 9.0 8.0 11.0 7.0 6.0 6.0 13.0 10.0 10.0 10.0 7.0 8.0 7.0 3.0 5.0 9.0 14.0 8.0 6.0 6.0 9.0 16.0 18.0 35.0 0.0 0.0 0.0 0.0 0.0 0.0
54 0.0 0.0 0.0 0.0 0.0 0.0 0.0 26.0 21.0 13.0 7.0 2.0 5.0 7.0 6.0 10.0 11.0 7.0 9.0 5.0 8.0 11.0 4.0 17.0 9.0 11.0 11.0 6.0 8.0 9.0 7.0 14.0 7.0 4.0 5.0 4.0 13.0 10.0 7.0 7.0 8.0 6.0 4.0 2.0 11.0 13.0 10.0 10.0 9.0 4.0 8.0 7.0 19.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
56 482.0 485.0 346.0 298.0 203.0 174.0 148.0 131.0 103.0 95.0 93.0 59.0 95.0 87.0 72.0 86.0 95.0 84.0 103.0 92.0 80.0 79.0 88.0 88.0 84.0 76.0 92.0 80.0 82.0 90.0 102.0 94.0 68.0 89.0 89.0 66.0 84.0 116.0 94.0 87.0 85.0 78.0 70.0 81.0 76.0 86.0 77.0 84.0 96.0 74.0 84.0 100.0 133.0 125.0 186.0 204.0 283.0 382.0 499.0 494.0
58 499.0 498.0 341.0 287.0 194.0 181.0 153.0 129.0 87.0 77.0 81.0 73.0 72.0 77.0 78.0 75.0 83.0 97.0 70.0 94.0 91.0 91.0 84.0 81.0 87.0 94.0 69.0 98.0 94.0 112.0 100.0 94.0 88.0 98.0 69.0 78.0 92.0 95.0 94.0 69.0 83.0 78.0 81.0 68.0 69.0 68.0 84.0 78.0 91.0 83.0 80.0 91.0 123.0 145.0 179.0 242.0 277.0 384.0 470.0 522.0
60 497.0 409.0 394.0 386.0 356.0 348.0 343.0 356.0 353.0 352.0 326.0 355.0 375.0 356.0 352.0 347.0 360.0 368.0 337.0 349.0 354.0 375.0 369.0 375.0 382.0 365.0 348.0 341.0 380.0 392.0 390.0 387.0 354.0 405.0 358.0 375.0 376.0 388.0 354.0 324.0 365.0 365.0 334.0 330.0 343.0 336.0 341.0 333.0 358.0 308.0 344.0 367.0 365.0 365.0 338.0 325.0 325.0 421.0 419.0 519.0
62 479.0 613.0 552.0 642.0 616.0 629.0 654.0 634.0 637.0 639.0 661.0 617.0 630.0 660.0 640.0 667.0 621.0 618.0 599.0 657.0 609.0 613.0 636.0 638.0 552.0 634.0 600.0 592.0 581.0 638.0 619.0 620.0 567.0 599.0 642.0 626.0 627.0 601.0 620.0 627.0 643.0 653.0 641.0 639.0 643.0 641.0 688.0 649.0 650.0 635.0 644.0 608.0 627.0 593.0 654.0 679.0 601.0 609.0 595.0 492.0
